code,description
AC,Unidentified SBSO call-number prefix
AD,Unidentified SBSO call-number prefix
AJ,Adelanto Jail (now known as High Desert Detention Center)
AP,Unidentified SBSO call-number prefix
AV,Unidentified SBSO call-number prefix
BA,Barstow Station routine patrol / normal Barstow station deputy calls
BB,Unidentified SBSO call-number prefix
BL,Unidentified SBSO call-number prefix
BR,Barstow Police Department calls with sheriff assistance
CA,Unidentified SBSO call-number prefix
CAF,Unidentified fire call-number prefix
CB,Unidentified SBSO call-number prefix
CH,Chino
CHP,California Highway Patrol incident
CO,Coroner
CR,Colorado River
CS,Court Services call
DC,Unidentified SBSO call-number prefix
FC,Unidentified SBSO call-number prefix
FN,Fontana
GD,Gang Detail
GJ,Unidentified SBSO call-number prefix
GT,Grand Terrace
HE,Hesperia
HI,Highland
IN,Unidentified SBSO call-number prefix
IR,IRNET (Inland Regional Narcotics Enforcement Team)
LL,Ludlow
MB,Morongo Basin
MT,Metrolink
ND,Narcotics Division
NE,Needles
OR,Outreach
PO,Probation Operations
RC,Rancho Cucamonga
RE,Redlands
RT,Unidentified weapons-enforcement call-number prefix
RTF,Unidentified SBSO call-number prefix
SA,Unidentified SBSO call-number prefix
SB,San Bernardino City
SBCFIRE,San Bernardino County Fire / EMS incident
SD,Specialized Detectives
SE,Specialized Enforcement
SF,BNSF Police
SM,San Manuel
SN,SANCATT (San Bernardino County Auto Theft Task Force)
SP,Special Patrol
TO,OHV Enforcement
TP,Twin Peaks
TR,Trona Substation
TW,Twentynine Palms
UP,Union Pacific Railroad Police
VC,Victorville City
VT,Victorville Transit
VV,Victorville County Area
WE,West End
WJ,Unidentified SBSO call-number prefix
YC,Unidentified SBSO call-number prefix
YU,Yucaipa
YV,Yucca Valley
